,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
0,'Blueberries' Buckshot | NSWC SEAL,8847ff,d2d2d2,9.72,9.66,0,,171.0,64.0,447.0,2193.0,7073.0,,agent,'blueberries' buckshot,exceptional,normal,0,0
1,'Medium Rare' Crasswater | Guerrilla Warfare,eb4b4b,d2d2d2,18.05,15.15,0,,115.0,49.0,327.0,1777.0,5713.0,,agent,'medium rare' crasswater,master,normal,0,0
2,'The Doctor' Romanov | Sabre,eb4b4b,d2d2d2,7.39,7.49,0,,589.0,249.0,1723.0,8332.0,27271.0,,agent,'the doctor' romanov,master,normal,0,0
3,'Two Times' McCoy | TACP Cavalry,d32ce6,d2d2d2,4.14,3.99,0,,397.0,182.0,1403.0,7144.0,22984.0,,agent,'two times' mccoy,superior,normal,0,0
4,'Two Times' McCoy | USAF TACP,d32ce6,d2d2d2,3.85,3.87,0,,769.0,227.0,2030.0,11640.0,34200.0,,agent,'two times' mccoy,superior,normal,0,0
5,★ Bayonet,eb4b4b,8650ac,635.62,600.0,1,LOW_SALES_3PLUS_MONTHS,11.0,0.0,5.0,25.0,87.0,,knife,bayonet,covert,unusual,0,1
6,★ Bayonet | Autotronic (Battle-Scarred),eb4b4b,8650ac,530.47,565.01,1,LOW_SALES_3PLUS_MONTHS,10.0,0.0,0.0,14.0,59.0,bs,knife,bayonet,covert,unusual,0,1
7,★ Bayonet | Autotronic (Factory New),eb4b4b,8650ac,883.86,920.0,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,3.0,10.0,fn,knife,bayonet,covert,unusual,0,1
8,★ Bayonet | Autotronic (Field-Tested),eb4b4b,8650ac,605.5,574.97,1,LOW_SALES_3PLUS_MONTHS,9.0,0.0,3.0,34.0,107.0,ft,knife,bayonet,covert,unusual,0,1
9,★ Bayonet | Autotronic (Minimal Wear),eb4b4b,8650ac,751.99,632.5,1,LOW_SALES_3PLUS_MONTHS,4.0,0.0,1.0,12.0,37.0,mw,knife,bayonet,covert,unusual,0,1
10,★ Bayonet | Autotronic (Well-Worn),eb4b4b,8650ac,685.88,456.04,1,LOW_SALES_3PLUS_MONTHS,1.0,1.0,1.0,3.0,7.0,ww,knife,bayonet,covert,unusual,0,1
11,★ Bayonet | Black Laminate (Battle-Scarred),eb4b4b,8650ac,360.08,360.87,1,LOW_SALES_3PLUS_MONTHS,5.0,0.0,6.0,16.0,48.0,bs,knife,bayonet,covert,unusual,0,1
12,★ Bayonet | Black Laminate (Factory New),eb4b4b,8650ac,699.9,531.35,1,NO_SALES_3PLUS_MONTHS,1.0,0.0,0.0,2.0,4.0,fn,knife,bayonet,covert,unusual,0,1
13,★ Bayonet | Black Laminate (Field-Tested),eb4b4b,8650ac,389.51,325.0,1,LOW_SALES_3PLUS_MONTHS,6.0,1.0,9.0,32.0,110.0,ft,knife,bayonet,covert,unusual,0,1
14,★ Bayonet | Black Laminate (Minimal Wear),eb4b4b,8650ac,428.35,383.27,1,LOW_SALES_3PLUS_MONTHS,7.0,2.0,9.0,34.0,88.0,mw,knife,bayonet,covert,unusual,0,1
15,★ Bayonet | Black Laminate (Well-Worn),eb4b4b,8650ac,350.75,354.62,1,LOW_SALES_3PLUS_MONTHS,4.0,0.0,2.0,32.0,93.0,ww,knife,bayonet,covert,unusual,0,1
16,★ Bayonet | Blue Steel (Battle-Scarred),eb4b4b,8650ac,402.0,324.04,1,LOW_SALES_3PLUS_MONTHS,3.0,1.0,2.0,16.0,39.0,bs,knife,bayonet,covert,unusual,0,1
