,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
0,'Blueberries' Buckshot | NSWC SEAL,8847ff,d2d2d2,9.33,9.72,0,,203.0,120.0,496.0,2021.0,9368.0,,agent,'blueberries' buckshot,exceptional,normal,0,0
1,'Medium Rare' Crasswater | Guerrilla Warfare,eb4b4b,d2d2d2,15.52,14.99,0,,163.0,83.0,399.0,1561.0,7236.0,,agent,'medium rare' crasswater,master,normal,0,0
2,'The Doctor' Romanov | Sabre,eb4b4b,d2d2d2,7.2,7.23,0,,546.0,513.0,2255.0,7818.0,30848.0,,agent,'the doctor' romanov,master,normal,0,0
3,'Two Times' McCoy | TACP Cavalry,d32ce6,d2d2d2,3.75,3.8,0,,486.0,331.0,1819.0,6468.0,24499.0,,agent,'two times' mccoy,superior,normal,0,0
4,'Two Times' McCoy | USAF TACP,d32ce6,d2d2d2,3.84,3.89,0,,565.0,441.0,2630.0,9021.0,34617.0,,agent,'two times' mccoy,superior,normal,0,0
5,★ Bayonet,eb4b4b,8650ac,663.55,728.92,1,LOW_SALES_3PLUS_MONTHS,14.0,0.0,7.0,27.0,94.0,,knife,bayonet,covert,unusual,0,1
6,★ Bayonet | Autotronic (Battle-Scarred),eb4b4b,8650ac,548.71,502.91,1,LOW_SALES_3PLUS_MONTHS,5.0,0.0,6.0,15.0,63.0,bs,knife,bayonet,covert,unusual,0,1
7,★ Bayonet | Autotronic (Factory New),eb4b4b,8650ac,1074.99,865.43,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,1.0,1.0,12.0,fn,knife,bayonet,covert,unusual,0,1
8,★ Bayonet | Autotronic (Field-Tested),eb4b4b,8650ac,570.67,565.83,1,LOW_SALES_3PLUS_MONTHS,17.0,3.0,7.0,27.0,133.0,ft,knife,bayonet,covert,unusual,0,1
9,★ Bayonet | Autotronic (Minimal Wear),eb4b4b,8650ac,805.0,620.77,1,LOW_SALES_3PLUS_MONTHS,5.0,0.0,3.0,7.0,39.0,mw,knife,bayonet,covert,unusual,0,1
