,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
0,'Blueberries' Buckshot | NSWC SEAL,8847ff,d2d2d2,10.49,10.77,0,,155.0,59,512,2841,12144,,agent,'blueberries' buckshot,exceptional,normal,0,0
1,'Medium Rare' Crasswater | Guerrilla Warfare,eb4b4b,d2d2d2,16.9,16.91,0,,153.0,87,435,2357,8654,,agent,'medium rare' crasswater,master,normal,0,0
2,'The Doctor' Romanov | Sabre,eb4b4b,d2d2d2,7.27,7.11,0,,567.0,227,1556,9216,36857,,agent,'the doctor' romanov,master,normal,0,0
3,'Two Times' McCoy | TACP Cavalry,d32ce6,d2d2d2,4.3,4.37,0,,435.0,251,1553,7504,31540,,agent,'two times' mccoy,superior,normal,0,0
4,'Two Times' McCoy | USAF TACP,d32ce6,d2d2d2,3.96,3.96,0,,679.0,552,2600,10873,45491,,agent,'two times' mccoy,superior,normal,0,0
5,★ Bayonet,eb4b4b,8650ac,817.62,743.05,1,LOW_SALES_3PLUS_MONTHS,10.0,3,9,35,81,,knife,bayonet,covert,unusual,0,1
6,★ Bayonet | Autotronic (Battle-Scarred),eb4b4b,8650ac,543.76,469.45,1,LOW_SALES_3PLUS_MONTHS,6.0,2,10,20,77,bs,knife,bayonet,covert,unusual,0,1
7,★ Bayonet | Autotronic (Factory New),eb4b4b,8650ac,1102.48,1134.62,1,LOW_SALES_3PLUS_MONTHS,,0,0,2,11,fn,knife,bayonet,covert,unusual,0,1
8,★ Bayonet | Autotronic (Field-Tested),eb4b4b,8650ac,668.73,602.53,1,LOW_SALES_3PLUS_MONTHS,9.0,2,12,53,163,ft,knife,bayonet,covert,unusual,0,1
9,★ Bayonet | Autotronic (Minimal Wear),eb4b4b,8650ac,750.0,775.0,1,LOW_SALES_3PLUS_MONTHS,4.0,2,6,14,42,mw,knife,bayonet,covert,unusual,0,1
10,★ Bayonet | Autotronic (Well-Worn),eb4b4b,8650ac,704.06,535.47,1,LOW_SALES_3PLUS_MONTHS,2.0,0,0,5,16,ww,knife,bayonet,covert,unusual,0,1
11,★ Bayonet | Black Laminate (Battle-Scarred),eb4b4b,8650ac,409.68,339.48,1,LOW_SALES_3PLUS_MONTHS,7.0,0,4,26,78,bs,knife,bayonet,covert,unusual,0,1
12,★ Bayonet | Black Laminate (Factory New),eb4b4b,8650ac,787.0,555.0,1,LOW_SALES_3PLUS_MONTHS,1.0,0,0,2,4,fn,knife,bayonet,covert,unusual,0,1
13,★ Bayonet | Black Laminate (Field-Tested),eb4b4b,8650ac,394.59,370.49,1,LOW_SALES_3PLUS_MONTHS,11.0,3,4,36,159,ft,knife,bayonet,covert,unusual,0,1
14,★ Bayonet | Black Laminate (Minimal Wear),eb4b4b,8650ac,412.18,388.58,1,LOW_SALES_3PLUS_MONTHS,8.0,1,6,32,125,mw,knife,bayonet,covert,unusual,0,1
15,★ Bayonet | Black Laminate (Well-Worn),eb4b4b,8650ac,373.55,346.39,1,LOW_SALES_3PLUS_MONTHS,3.0,1,8,31,128,ww,knife,bayonet,covert,unusual,0,1
16,★ Bayonet | Blue Steel (Battle-Scarred),eb4b4b,8650ac,378.39,350.0,1,LOW_SALES_3PLUS_MONTHS,7.0,0,1,13,71,bs,knife,bayonet,covert,unusual,0,1
17,★ Bayonet | Blue Steel (Factory New),eb4b4b,8650ac,780.0,622.0,1,LOW_SALES_3PLUS_MONTHS,1.0,0,0,0,5,fn,knife,bayonet,covert,unusual,0,1
